Nome,Ruolo,Squadra,Prezzo,FVM,Pt_giornata,Valore_stagionale,Valore_per_credito
Zapata D.,A,Torino,7,18,4.46,151.6,21.657
Sulemana K.,A,Atalanta,6,10,4.4,149.6,24.933
Mutandwa,A,Cagliari,6,10,4.92,167.3,27.883
Boga,A,Juventus,6,26,4.69,159.5,26.583
Noslin,A,Lazio,6,17,5.57,189.4,31.567
Gimenez,A,Milan,6,10,3.39,115.3,19.217
Neres,A,Napoli,6,17,5.62,191.1,31.85
Maldini,A,Cagliari,5,21,4.23,143.8,28.76
Camarda,A,Milan,5,20,5.0,170.0,34.0
Mota,A,Monza,5,18,4.14,140.8,28.16
Varela G.,A,Monza,5,7,4.94,168.0,33.6
Frigan,A,Parma,5,10,3.94,134.0,26.8
Adorante,A,Venezia,5,12,5.27,179.2,35.84
Milik,A,Juventus,5,13,5.46,185.6,37.12
Borrelli,A,Cagliari,4,9,4.29,145.9,36.475
Mendy P.,A,Cagliari,4,14,3.81,129.5,32.375
Morata,A,Como,4,7,4.86,165.2,41.3
Kvernadze,A,Frosinone,4,16,3.79,128.9,32.225
Havel,A,Genoa,4,9,4.43,150.6,37.65
Giovane,A,Napoli,4,10,4.0,136.0,34.0
Lang,A,Napoli,4,12,4.01,136.3,34.075
Lucca,A,Napoli,4,10,3.94,134.0,33.5
Kulenovic,A,Torino,4,9,5.36,182.2,45.55
Gueye,A,Udinese,4,7,5.59,190.1,47.525
Robinson J.,A,Monza,4,10,4.09,139.1,34.775
Kuhn,A,Como,3,5,5.03,171.0,57.0
Ekhator,A,Juventus,3,10,4.95,168.3,56.1
N'Dri,A,Lecce,3,15,5.66,192.4,64.133
Elphege,A,Parma,3,11,3.76,127.8,42.6
Lontani,A,Parma,2,10,3.51,119.3,59.65
Trepy,A,Cagliari,1,2,4.88,165.9,165.9
Azon,A,Como,1,1,5.07,172.4,172.4
Vaz,A,Roma,1,4,5.36,182.2,182.2
Bayo V.,A,Udinese,1,3,5.44,185.0,185.0
Lisman,A,Venezia,1,1,4.45,151.3,151.3
Lauberbach,A,Venezia,1,1,5.37,182.6,182.6
De Martis,A,Parma,1,1,4.52,153.7,153.7
