Nome,Ruolo,Squadra,Prezzo,FVM,Pt_giornata,Valore_stagionale,Valore_per_credito
Cristante,C,Roma,8,29,3.82,129.9,16.238
Volpato,C,Sassuolo,8,23,3.74,127.2,15.9
Schmid,C,Frosinone,8,28,5.19,176.5,22.062
Ferguson,C,Bologna,7,23,4.83,164.2,23.457
Adopo,C,Cagliari,7,13,3.66,124.4,17.771
Romano,C,Cagliari,7,20,3.89,132.3,18.9
Fazzini,C,Cagliari,7,24,4.32,146.9,20.986
Calò,C,Frosinone,7,25,5.31,180.5,25.786
Frendrup,C,Genoa,7,20,4.46,151.6,21.657
Rovella,C,Lazio,7,16,4.37,148.6,21.229
Coulibaly L.,C,Lecce,7,17,4.47,152.0,21.714
Chukwueze,C,Milan,7,22,5.37,182.6,26.086
Pessina,C,Monza,7,15,3.68,125.1,17.871
Bernabè,C,Parma,7,35,4.55,154.7,22.1
Pisilli,C,Roma,7,17,4.21,143.1,20.443
Oristanio,C,Torino,7,12,4.79,162.9,23.271
Karlstrom,C,Udinese,7,20,3.91,132.9,18.986
Unai Gomez,C,Udinese,7,17,5.42,184.3,26.329
Sow,C,Genoa,7,15,4.09,139.1,19.871
Elmas,C,Atalanta,7,28,4.82,163.9,23.414
Zalewski,C,Atalanta,6,20,5.26,178.8,29.8
Pobega,C,Bologna,6,13,5.1,173.4,28.9
Winks,C,Cagliari,6,15,4.32,146.9,24.483
Milla,C,Como,6,20,3.78,128.5,21.417
Caqueret,C,Como,6,17,3.67,124.8,20.8
Liberali,C,Como,6,21,5.08,172.7,28.783
Oulai,C,Fiorentina,6,20,4.15,141.1,23.517
Ellertsson,C,Genoa,6,18,3.7,125.8,20.967
Zhegrova,C,Juventus,6,20,3.74,127.2,21.2
Pierotti,C,Lecce,6,19,3.85,130.9,21.817
Akinsanmiro,C,Monza,6,16,4.35,147.9,24.65
Nicolussi Caviglia,C,Parma,6,16,4.41,149.9,24.983
Matic,C,Sassuolo,6,15,5.69,193.5,32.25
Gineitis,C,Torino,6,12,4.52,153.7,25.617
Basic,C,Venezia,6,19,3.69,125.5,20.917
Tourè I.,C,Monza,6,15,4.57,155.4,25.9
Amondarain,C,Bologna,5,12,3.91,132.9,26.58
Felici,C,Cagliari,5,8,3.65,124.1,24.82
Addai,C,Como,5,10,4.34,147.6,29.52
Zerbin,C,Frosinone,5,12,4.44,151.0,30.2
Amorim,C,Genoa,5,11,3.31,112.5,22.5
Meichtry,C,Genoa,5,11,5.24,178.2,35.64
Traorè Hj.,C,Genoa,5,11,4.87,165.6,33.12
Mkhitaryan,C,Inter,5,10,3.24,110.2,22.04
Koopmeiners,C,Juventus,5,13,4.52,153.7,30.74
Dele-Bashiru,C,Lazio,5,13,3.99,135.7,27.14
Berisha M.,C,Lecce,5,12,5.12,174.1,34.82
Gandelman,C,Lecce,5,10,4.68,159.1,31.82
Fofana Y.,C,Milan,5,10,3.55,120.7,24.14
Jashari,C,Milan,5,13,4.26,144.8,28.96
Keita M.,C,Parma,5,15,3.46,117.6,23.52
Adzic,C,Sassuolo,5,16,4.61,156.7,31.34
Bakola,C,Sassuolo,5,14,5.6,190.4,38.08
Cacciamani,C,Torino,5,20,4.08,138.7,27.74
Njie,C,Torino,5,14,5.08,172.7,34.54
Piotrowski,C,Udinese,5,15,5.19,176.5,35.3
Busio,C,Venezia,5,14,4.89,166.3,33.26
Sohm,C,Venezia,5,11,5.15,175.1,35.02
Perez K.,C,Venezia,5,15,3.75,127.5,25.5
Grillitsch,C,Frosinone,5,10,5.54,188.4,37.68
Cissè A.,C,Milan,5,25,3.77,128.2,25.64
De Roon,C,Atalanta,4,8,4.04,137.4,34.35
Moro N.,C,Bologna,4,14,4.99,169.7,42.425
Dominguez B.,C,Sassuolo,4,12,4.52,153.7,38.425
Deiola,C,Cagliari,4,8,5.17,175.8,43.95
Prati,C,Cagliari,4,7,5.25,178.5,44.625
Fabbian,C,Fiorentina,4,8,4.84,164.6,41.15
Cichella,C,Frosinone,4,12,4.89,166.3,41.575
